index,memory_address,rodata_offset,capacity_bytes,classification,original,translation,status,notes
45,0x00616697,0x001C1697,15,text,追いかける,쫓아간다,needs_review,
46,0x006166A7,0x001C16A7,15,text,放っておく,내버려둔다,needs_review,compacted:spaces_removed
47,0x006166B7,0x001C16B7,39,text,にゅろきーが良かったのか？,뉴로키가 좋았던 건가？,needs_review,
48,0x006166DF,0x001C16DF,36,text,うりじょーはダメなのか？,우리죠는 안 되는 거야？,needs_review,
49,0x00616704,0x001C1704,36,text,げんのりが良かったのか？,원래 맛이 좋았던 건가？,needs_review,
50,0x00616729,0x001C1729,15,text,感動した！,감동했어！,needs_review,
51,0x00616739,0x001C1739,27,text,どういうことだ！？,그게무슨소리냐！？,needs_review,
52,0x00616755,0x001C1755,21,text,白鷹に加勢する,시로타카 돕기,needs_review,expanded:refit_to_capacity
53,0x0061676B,0x001C176B,36,text,サーリとキャスに加勢する,살리와 캐스를 돕는다,needs_review,
54,0x00616790,0x001C1790,21,text,見捨てるのか？,버려두는건가？,needs_review,
55,0x006167A6,0x001C17A6,36,text,確かに、放っておけばいい,"확실히, 내버려 두면 돼",needs_review,
56,0x006167CB,0x001C17CB,18,text,キャスを護る,캐스를지킨다,needs_review,compacted:spaces_removed
57,0x006167DE,0x001C17DE,33,text,キャスが心配だったから,캐스가 걱정돼서,needs_review,
58,0x00616800,0x001C1800,27,text,面白そうだったから,재밌어 보여서,needs_review,
59,0x0061681C,0x001C181C,6,text,ご飯,밥,needs_review,
60,0x00616823,0x001C1823,9,text,お風呂,목욕,needs_review,
61,0x0061682D,0x001C182D,9,text,たわし,수세미,needs_review,
62,0x00616837,0x001C1837,42,text,借金１０万カラット返済したい,빚 １０만 카랏을 갚고 싶어,needs_review,
63,0x00616862,0x001C1862,45,text,電気椅子日参１０万人達成したい,전기의자 일일 １０만 명 달성,needs_review,
64,0x00616890,0x001C1890,9,text,５リヴ,５리브,needs_review,
65,0x0061689A,0x001C189A,9,text,３リヴ,리브(3),needs_review,
66,0x006168A4,0x001C18A4,18,text,キャスを叱る,캐스 꾸짖기,needs_review,expanded:refit_to_capacity
67,0x006168B7,0x001C18B7,18,text,キャスを叩く,캐스를때린다,needs_review,compacted:spaces_removed
68,0x006168CA,0x001C18CA,15,text,何もしない,방관,needs_review,compacted:word_abbreviation
69,0x006168DA,0x001C18DA,24,text,ネイをなぐさめる,네이를 위로한다,needs_review,
70,0x006168F3,0x001C18F3,39,text,俺が代わりに臓器を提供する,내가 대신 장기를 제공한다,needs_review,
71,0x0061691B,0x001C191B,30,text,キャスを連れて逃げる,캐스를데리고도망친다,needs_review,compacted:spaces_removed
72,0x0061693A,0x001C193A,36,text,ネイに止めるよう説得する,네이를 말리도록 설득한다,needs_review,
73,0x0061695F,0x001C195F,33,text,自分でロケットを動かす,직접 로켓을 움직인다,needs_review,
74,0x00616981,0x001C1981,39,text,キャスを賤しいとか言うな！,캐스를 천하다고 말하지 마！,needs_review,
75,0x006169A9,0x001C19A9,21,text,お望みの通りに,원하시는 대로,needs_review,
76,0x006169BF,0x001C19BF,12,text,いやだね,싫어,needs_review,
77,0x006169CC,0x001C19CC,12,text,わかった,알았어,needs_review,
78,0x006169D9,0x001C19D9,33,text,俺がパパになってやるよ,내가 아빠가 되어 줄게,needs_review,
79,0x006169FB,0x001C19FB,21,text,それは困ったな,그건 곤란한데,needs_review,
80,0x00616A11,0x001C1A11,42,text,自分が遊ぶために没収してる？,자기가 놀려고 몰수하는 거야？,needs_review,
81,0x00616A3C,0x001C1A3C,39,text,自分が一番遊びに怯えてる？,네가 제일 놀이를 겁내니？,needs_review,
82,0x00616A64,0x001C1A64,27,text,強引に引っ張り出す,억지로 끌고 나간다,needs_review,
83,0x00616A80,0x001C1A80,21,text,一緒に勉強する,같이 공부하자,needs_review,
84,0x00616A96,0x001C1A96,42,text,いいから水着に着替えて泳ぐぞ,수영복으로 갈아입고 수영하자,needs_review,
85,0x00616AC1,0x001C1AC1,27,text,これは泳ぎの勉強だ,이건 수영 공부다,needs_review,
86,0x00616ADD,0x001C1ADD,36,text,せっかくだから泳ごうぜ！,이왕 온 김에 수영하자！,needs_review,
87,0x00616B02,0x001C1B02,24,text,そろそろ帰るか？,슬슬 돌아갈까？,needs_review,
88,0x00616B1B,0x001C1B1B,15,text,責任をとる,책임져,needs_review,
89,0x00616B2B,0x001C1B2B,9,text,逃げる,도망,needs_review,
90,0x00616B35,0x001C1B35,15,text,正直に言う,솔직히말함,needs_review,expanded:refit_to_capacity
91,0x00616B45,0x001C1B45,21,text,土下座して謝る,무릎 꿇고 사과,needs_review,
92,0x00616B5B,0x001C1B5B,15,text,逃げるぞ！,도망치자！,needs_review,
93,0x00616B6B,0x001C1B6B,39,text,トインストーラーで遊ぶぞ！,토인스톨러로 놀 거야！,needs_review,
94,0x00616B93,0x001C1B93,9,text,いいよ,좋아,needs_review,
95,0x00616B9D,0x001C1B9D,6,text,だめ,안돼,needs_review,compacted:spaces_removed
96,0x00616BA4,0x001C1BA4,30,text,死亡フラグ立てるなよ,사망 플래그 세우지 마,needs_review,
97,0x00616BC3,0x001C1BC3,27,text,無理矢理やめさせる,억지로 그만두게 함,needs_review,
98,0x00616BDF,0x001C1BDF,30,text,キャスの好きにさせる,캐스에게 맡긴다,needs_review,
99,0x00616BFE,0x001C1BFE,24,text,俺の力不足だった,내 힘이 부족했다,needs_review,
100,0x00616C17,0x001C1C17,36,text,キャスがどうしてもやると,캐스가 꼭 하겠다면,needs_review,
101,0x00616C3C,0x001C1C3C,9,text,手伝う,돕겠다,needs_review,
102,0x00616C46,0x001C1C46,27,text,お前も信用ならない,너도 믿을 수 없군,needs_review,
103,0x00616C62,0x001C1C62,39,text,本当に光の力の産物なのか？,정말 빛의 힘의 산물인가？,needs_review,
104,0x00616C8A,0x001C1C8A,42,text,もしかしてキャスじゃないか？,설마 캐스 아니야？,needs_review,
105,0x00616CB5,0x001C1CB5,21,text,キャスを止める,캐스를 말린다,needs_review,
106,0x00616CCB,0x001C1CCB,18,text,ネロを止める,네로를 말림,needs_review,
107,0x00616CDE,0x001C1CDE,33,text,おちついてゆっくり通る,차분히 천천히 지나간다,needs_review,
108,0x00616D00,0x001C1D00,24,text,全力で走って通る,전력으로 달린다,needs_review,
109,0x00616D19,0x001C1D19,21,text,わかるけど……,알겠지만……,needs_review,
110,0x00616D2F,0x001C1D2F,18,text,ぎゅってする,꽉 안아준다,needs_review,
111,0x00616D42,0x001C1D42,21,text,ぎゅってしない,꽉 안지 않는다,needs_review,
112,0x00616D58,0x001C1D58,15,text,楽しそうだ,즐겁겠네,needs_review,
113,0x00616D68,0x001C1D68,15,text,ふざけんな,웃기지 마,needs_review,
114,0x00616D78,0x001C1D78,12,text,行かせる,보내줄게,needs_review,
115,0x00616D85,0x001C1D85,24,text,一緒について行く,함께 따라갈래,needs_review,
116,0x00616D9E,0x001C1D9E,21,text,よく眠れそうだ,잘 잘 수 있겠어,needs_review,
117,0x00616DB4,0x001C1DB4,21,text,何の匂いだろう,무슨 냄새지?,needs_review,
118,0x00616DCA,0x001C1DCA,24,text,寝ないように叩く,졸지 않게 때리기,needs_review,
119,0x00616DE3,0x001C1DE3,30,text,抱きしめて呼吸を護る,껴안아 호흡을 지킨다,needs_review,
120,0x00616E02,0x001C1E02,27,text,ネイと一緒に逃げる,네이와 함께 도망침,needs_review,
121,0x00616E1E,0x001C1E1E,27,text,ネイと離れて逃げる,네이와 도망친다,needs_review,
122,0x00616E3A,0x001C1E3A,18,text,ネイを助ける,네이를돕는다,needs_review,compacted:spaces_removed
123,0x00616E4D,0x001C1E4D,21,text,キャスを助ける,캐스를 돕는다,needs_review,
124,0x00616E63,0x001C1E63,24,text,プライムを信じる,프림을 믿는다,needs_review,
125,0x00616E7C,0x001C1E7C,27,text,プライムを信じない,프림을 믿지 않는다,needs_review,
126,0x00616E98,0x001C1E98,24,text,キャスが志願する,캐스가 자원한다,needs_review,
127,0x00616EB1,0x001C1EB1,33,text,サーリが使うのを見守る,살리가 쓰는 걸 지켜본다,needs_review,
128,0x00616ED3,0x001C1ED3,24,text,サーリを許さない,살리를 용서 못 해,needs_review,
129,0x00616EEC,0x001C1EEC,18,text,サーリを許す,살리를용서함,needs_review,expanded:refit_to_capacity
130,0x00616EFF,0x001C1EFF,18,text,何を勝手に！,뭐라는거야！,needs_review,expanded:refit_to_capacity
131,0x00616F12,0x001C1F12,30,text,俺も変身できるのか？,나도 변신할 수 있나？,needs_review,
132,0x00616F31,0x001C1F31,18,text,キャスを怒る,캐스분노,needs_review,compacted:word_abbreviation
133,0x00616F44,0x001C1F44,21,text,キャスを慰める,캐스를위로한다,needs_review,compacted:spaces_removed
134,0x00616F5A,0x001C1F5A,12,text,攻撃する,공격한다,needs_review,
135,0x00616F67,0x001C1F67,24,text,話で間を持たせる,말로 시간을 번다,needs_review,
136,0x00616F80,0x001C1F80,24,text,サーリを支援する,살리를 지원한다,needs_review,
137,0x00616F99,0x001C1F99,18,text,黙って見守る,지켜보기,needs_review,
138,0x00616FAC,0x001C1FAC,21,text,友達になりたい,친해지고 싶어,needs_review,
139,0x00616FC2,0x001C1FC2,18,text,そうじゃない,그게 아냐,needs_review,
140,0x00616FD5,0x001C1FD5,33,text,本物のサーリと結婚する,진짜 살리와 결혼한다,needs_review,
141,0x00616FF7,0x001C1FF7,39,text,クローンのサーリと結婚する,클론인 살리와 결혼한다,needs_review,
142,0x0061701F,0x001C201F,24,text,二人とも結婚する,둘 다와 결혼한다,needs_review,
143,0x00617038,0x001C2038,27,text,二人とも結婚しない,둘 다 결혼 안 해,needs_review,
144,0x00617054,0x001C2054,21,text,ここはどこだ？,여긴 어디지？,needs_review,
145,0x0061706A,0x001C206A,18,text,おまえを倒す,널쓰러뜨린다,needs_review,expanded:refit_to_capacity
146,0x0061707D,0x001C207D,21,text,何をやってる？,뭐 하는 거야？,needs_review,
147,0x00617093,0x001C2093,36,text,どうして俺はここにいる？,왜 내가 여기에 있지？,needs_review,
148,0x006170B8,0x001C20B8,21,text,どんなテスト？,어떤 테스트？,needs_review,
149,0x006170D8,0x001C20D8,21,text,もちろんです！,물론입니다！,needs_review,
150,0x006170EE,0x001C20EE,15,text,ねりこ！！,네리코！！,needs_review,
151,0x006170FE,0x001C20FE,30,text,こんなところで何を？,이런 곳에서 뭘？,needs_review,
152,0x0061711D,0x001C211D,33,text,この世界は一体何なの？,도대체 이 세계는 뭐야？,needs_review,
153,0x0061713F,0x001C213F,21,text,そんな筈は無い,그럴 리 없어,needs_review,
154,0x00617155,0x001C2155,15,text,もちろん！,물론이지！,needs_review,
155,0x00617165,0x001C2165,30,text,全然うまくいってない,전혀 잘 안 돼,needs_review,
156,0x00617184,0x001C2184,21,text,まだわからない,아직 모르겠어,needs_review,
157,0x0061719A,0x001C219A,42,text,ちょっと待て！　説明してくれ,잠깐 기다려！ 설명해 줘,needs_review,
158,0x006171C5,0x001C21C5,15,text,殴りかかる,달려든다,needs_review,
159,0x006171D5,0x001C21D5,15,text,様子を見る,상황 주시,needs_review,
160,0x006171E5,0x001C21E5,36,text,コッテリ定食を買ってくる,코테리 정식을 사 온다,needs_review,
161,0x0061720A,0x001C220A,48,text,隣の真空管屋で真空管を買ってくる,옆 진공관 가게에서 사 오기,needs_review,
162,0x0061723B,0x001C223B,45,text,将棋の先生と同じ人のような気が,쇼기 선생님 같은 기분이,needs_review,
163,0x00617269,0x001C2269,21,text,朝ご飯を食べる,아침을 먹는다,needs_review,
164,0x0061727F,0x001C227F,24,text,すぐに会社に行く,바로 회사로 간다,needs_review,
165,0x00617298,0x001C2298,45,text,イオンにキスしてから会社に行く,이온에게 키스하고 회사에 간다,needs_review,
166,0x006172C6,0x001C22C6,30,text,ごちそうさまでした！,잘 먹었습니다！,needs_review,
167,0x006172E5,0x001C22E5,18,text,どうしたの？,왜 그래？,needs_review,
168,0x006172F8,0x001C22F8,27,text,それより仕事仕事！,"그것보다 일, 일！",needs_review,
169,0x00617314,0x001C2314,39,text,ごめん、さすがにわからない,"미안, 그건 진짜 모르겠어",needs_review,
170,0x0061733C,0x001C233C,36,text,そんなのどっちだっていい,그런 건 아무래도 상관없어,needs_review,
171,0x00617361,0x001C2361,36,text,嫌われないようにしないと,미움받지 않도록 해야 해,needs_review,
172,0x00617386,0x001C2386,48,text,でも、何があっても自分がついてる,하지만 내가 곁에 있어,needs_review,
173,0x006173B7,0x001C23B7,18,text,何も言わない,아무 말 안 해,needs_review,
174,0x006173CA,0x001C23CA,24,text,なんでも相談して,뭐든 상담해줘,needs_review,
175,0x006173E3,0x001C23E3,45,text,もうどうしたらいいかわからない,이제 어떻게 해야 할지 모르겠어,needs_review,
176,0x00617411,0x001C2411,33,text,たまごを割るための小槌,계란을 깨는 작은 망치,needs_review,
177,0x00617433,0x001C2433,9,text,モラル,도덕,needs_review,
178,0x0061743D,0x001C243D,12,text,プライド,자존심,needs_review,
179,0x0061744A,0x001C244A,24,text,コイン式電気椅子,코인식 전기 의자,needs_review,
180,0x00617463,0x001C2463,24,text,シャワールの触手,샤르의 촉수,needs_review,
181,0x0061747C,0x001C247C,12,kanji_only,宇宙皇帝,우주황제,needs_review,compacted:spaces_removed
182,0x00617489,0x001C2489,33,text,ここが会場じゃないの？,여기가 행사장 아니야？,needs_review,
183,0x006174AB,0x001C24AB,27,text,ちょっとまった！！,잠깐 기다려！！,needs_review,
184,0x006174CE,0x001C24CE,39,text,３つの検査ともに合格してる,세 가지 검사 모두 합격이야,needs_review,
185,0x006174F6,0x001C24F6,30,text,第４の検査をやらせろ,４차 검사를 실시해라,needs_review,
186,0x00617515,0x001C2515,18,text,そこを何とか,어떻게든해봐,needs_review,compacted:spaces_removed
187,0x00617528,0x001C2528,51,text,ならばもう二度とこの世界には来ない,그럼 다시는 이 세계에 안 올 거야,needs_review,
188,0x0061755C,0x001C255C,12,text,そうです,맞아요,needs_review,
189,0x00617569,0x001C2569,21,text,単なる気分転換,기분 전환일 뿐,needs_review,
190,0x0061757F,0x001C257F,21,text,呼んでみたら？,한번불러볼래？,needs_review,
191,0x00617595,0x001C2595,27,text,扉を開けてみたら？,문을 열어볼래？,needs_review,
192,0x006175B1,0x001C25B1,45,text,通りすがりの人間とロボットです,지나가던 인간과 로봇입니다,needs_review,
193,0x006175DF,0x001C25DF,51,text,君達の始祖たるとうだいもり様なるぞ,너희의 시조인 토다이모리 님이시다,needs_review,
194,0x00617613,0x001C2613,24,text,殴って逃げようぜ,패고 도망치자!,needs_review,
195,0x0061762C,0x001C262C,33,text,仕方ない、ついていこう,"어쩔 수 없지, 따라가자.",needs_review,
196,0x0061764E,0x001C264E,24,text,砂から岩を作ろう,모래로바위만들기,needs_review,expanded:refit_to_capacity
197,0x00617667,0x001C2667,27,text,黄鬼から話を聞こう,황귀에게 물어보자,needs_review,
198,0x00617683,0x001C2683,18,text,イオンを護る,이온을지킨다,needs_review,compacted:spaces_removed
199,0x00617696,0x001C2696,27,text,イオンに手を出すな,이온에게 손대지 마!,needs_review,
200,0x006176B2,0x001C26B2,42,text,イオンを踏んでいいのは俺だけ,이온은 나만 밟을 수 있어,needs_review,
201,0x006176DD,0x001C26DD,15,text,だが断る！,거절한다！,needs_review,
202,0x006176ED,0x001C26ED,18,text,許可する！！,허가한다！！,needs_review,
203,0x00617700,0x001C2700,9,text,楽しい,즐거워,needs_review,
204,0x0061770A,0x001C270A,24,text,意味が分からない,무슨 소리야,needs_review,
205,0x00617723,0x001C2723,21,text,ネイがおかしい,네이가 이상해,needs_review,
206,0x00617739,0x001C2739,24,text,随分辛い世界だな,참가혹한세상이군,needs_review,compacted:spaces_removed
207,0x00617752,0x001C2752,33,text,カノンは大丈夫なのか？,카논은 괜찮은 거야？,needs_review,
208,0x00617774,0x001C2774,30,text,仕方ない、立ち去ろう,"어쩔 수 없지, 떠나자",needs_review,
209,0x00617793,0x001C2793,27,text,やってみてもいい？,해봐도 돼？,needs_review,
210,0x006177AF,0x001C27AF,18,text,お茶は好き？,차 좋아해？,needs_review,
211,0x006177C2,0x001C27C2,30,text,一緒に紗或国を造ろう,함께 사혹국을 만들자,needs_review,
212,0x006177E1,0x001C27E1,33,text,お茶入れるの手伝います,차 따르는 거 도울게,needs_review,
213,0x00617803,0x001C2803,54,text,やった！　思わぬ所からナンパに進展！,앗！ 뜻밖의 전개로 헌팅 성공！,needs_review,
214,0x0061783A,0x001C283A,48,text,それは大御神と交信するみたいな？,그건 대신주와 교신하는 느낌？,needs_review,
215,0x0061786B,0x001C286B,51,text,それじゃ一緒に声聴きをしましょう！,그럼 같이 목소리를 듣자！,needs_review,
216,0x0061789F,0x001C289F,30,text,解放ってどうやるの？,해방은 어떻게 해？,needs_review,
217,0x006178BE,0x001C28BE,42,text,力を合わせれば解放できるかも,힘을 합치면 해방할지도 몰라,needs_review,expanded:refit_to_capacity
218,0x006178E9,0x001C28E9,45,text,気分転換に浜にでも行ってきます,기분 전환 겸 바다라도 다녀올게,needs_review,
219,0x00617917,0x001C2917,45,text,気分転換に浜に散歩に行かない？,기분 전환으로 바다 산책안할래？,needs_review,
220,0x00617945,0x001C2945,15,text,青鬼がいい,파란귀신,needs_review,compacted:word_abbreviation
221,0x00617955,0x001C2955,15,text,黄鬼がいい,노란귀신,needs_review,compacted:word_abbreviation
222,0x00617965,0x001C2965,21,text,誰とも話さない,아무와도말안해,needs_review,compacted:spaces_removed
223,0x0061797B,0x001C297B,48,text,どうせなら、一緒に岩を作らない？,이왕이면 같이 바위 만들래？,needs_review,
224,0x006179AC,0x001C29AC,45,text,それにしても、ぺったんこだね。,"그나저나, 정말 납작하네.",needs_review,
225,0x006179DA,0x001C29DA,48,text,そんなに踏まれたいなら踏んでやる,그렇게 밟히고 싶다면 밟아주지,needs_review,
226,0x00617A0B,0x001C2A0B,48,text,ところで桃鬼フィギュアの話だが…,그나저나 모모키 피규어 말인데…,needs_review,
227,0x00617A3C,0x001C2A3C,18,text,殴ってみよう,한번때려보자,needs_review,compacted:spaces_removed
228,0x00617A4F,0x001C2A4F,24,text,そっとしておこう,그냥 내버려 두자,needs_review,
229,0x00617A68,0x001C2A68,21,text,腕が痺れる……,팔이 저려……,needs_review,
230,0x00617A7E,0x001C2A7E,36,text,知らないわけがないと思う,모를 리가 없다고 생각해,needs_review,
231,0x00617AA3,0x001C2AA3,39,text,イオンを信じてやってくれ！,이온을 믿어줘！,needs_review,
232,0x00617ACB,0x001C2ACB,27,text,裏切られてもいい！,배신당해도 좋아！,needs_review,
233,0x00617AE7,0x001C2AE7,18,text,自信あるの？,자신 있어？,needs_review,
234,0x00617AFA,0x001C2AFA,21,text,確かに興味ある,확실히흥미있어,needs_review,compacted:spaces_removed
235,0x00617B10,0x001C2B10,36,text,ありったけの想いを込める,모든 마음을 담아서,needs_review,
236,0x00617B35,0x001C2B35,21,text,イオンに任せる,이온에게 맡겨,needs_review,
237,0x00617B4B,0x001C2B4B,12,text,当然です,당연하죠,needs_review,
238,0x00617B58,0x001C2B58,24,text,そんなことない！,그럴 리 없어！,needs_review,
239,0x00617B71,0x001C2B71,45,text,今回はどんなムフフが待ってるか,이번엔 어떤 야한 일이 기다릴지,needs_review,
240,0x00617B9F,0x001C2B9F,42,text,今回はどんな事件が待ってるか,이번엔 어떤 사건이 기다릴까,needs_review,
241,0x00617BCA,0x001C2BCA,36,text,今じゃ屋上は立ち入り禁止,지금은 옥상 출입 금지야,needs_review,
242,0x00617BEF,0x001C2BEF,51,text,いや、そうじゃなくってこれ電気椅子,"아니, 그게 아니라 이거 전기 의자잖아",needs_review,
243,0x00617C23,0x001C2C23,45,text,プランク博士に相談してみれば？,플랑크 박사에게 상담해 볼래？,needs_review,
244,0x00617C51,0x001C2C51,42,text,ヒャッハーに相談してみれば？,햐하에게 상담해 볼래？,needs_review,
245,0x00617C7C,0x001C2C7C,57,text,勝てば何でも貰える、だって？ならば……,이기면 뭐든 준다고？ 그렇다면……,needs_review,
246,0x00617CB6,0x001C2CB6,27,text,やばい、逃げよう！,"위험해, 도망치자！",needs_review,
247,0x00617CD2,0x001C2CD2,36,text,雷雲をネイに呼んでもらう,뇌운을 네이가 부르게 한다,needs_review,
248,0x00617CF7,0x001C2CF7,39,text,ヒャッハーの電気椅子を使う,햐하의 전기 의자를 사용한다,needs_review,
249,0x00617D1F,0x001C2D1F,24,text,また殴ってやろう,또 한 대 때려주마,needs_review,
250,0x00617D38,0x001C2D38,21,text,作戦を立てよう,작전을 짜자,needs_review,
251,0x00617D4E,0x001C2D4E,42,text,罠といえばハニートラップだ！,함정이라면 미인계지！,needs_review,
252,0x00617D79,0x001C2D79,45,text,罠といえばブービートラップだ！,함정이라면 부비트랩이지！,needs_review,
253,0x00617DA7,0x001C2DA7,30,text,無茶苦茶言ってるなぁ,말도 안 돼,needs_review,
254,0x00617DC6,0x001C2DC6,27,text,いやー、眼福眼福！,이야～눈호강이다！,needs_review,
255,0x00617DE2,0x001C2DE2,30,text,猛ダッシュで突進する,전력 질주로 돌진한다,needs_review,
256,0x00617E01,0x001C2E01,21,text,普通に突進する,그냥 돌진한다,needs_review,
257,0x00617E17,0x001C2E17,27,text,宇宙皇帝を信じよう,우주 황제를 믿자,needs_review,
258,0x00617E33,0x001C2E33,21,text,ネイを信じよう,네이를 믿자,needs_review,
259,0x00617E49,0x001C2E49,18,text,特攻パンチ！,특공 펀치！,needs_review,
260,0x00617E5C,0x001C2E5C,15,kanji_only,銃乱射！！,총기 난사!!,needs_review,
261,0x00617E6C,0x001C2E6C,54,text,ネイはシャールであることを悩んでる？,네이는 샤르라는 사실에 고민 중？,needs_review,
262,0x00617EA3,0x001C2EA3,39,text,なぜ触手を使わないのかな？,왜 촉수를 안 쓰는 걸까？,needs_review,
263,0x00617ECB,0x001C2ECB,15,text,ネイはドＭ,네이는도Ｍ,needs_review,expanded:refit_to_capacity
264,0x00617EDB,0x001C2EDB,45,text,ロッククライミング用の突起かも,암벽 등반용 돌기일지도,needs_review,
265,0x00617F09,0x001C2F09,30,text,どうしたの？　イオン,왜 그래？ 이온,needs_review,
266,0x00617F28,0x001C2F28,27,text,なんか声が聞こえる,목소리가 들려,needs_review,
267,0x00617F44,0x001C2F44,27,text,壁をノックしてみる,벽을 두드려 본다,needs_review,
268,0x00617F60,0x001C2F60,27,text,壁をぶん殴ってみる,벽을 주먹으로 친다,needs_review,
269,0x00617F83,0x001C2F83,18,text,出ていかない,안 나오네,needs_review,
270,0x00617F96,0x001C2F96,18,text,それは辛いね,그건괴롭겠네,needs_review,compacted:spaces_removed
271,0x00617FA9,0x001C2FA9,21,text,それは保身だね,자기보호네,needs_review,
272,0x00617FBF,0x001C2FBF,36,text,ネイを信じてやって欲しい,네이를 믿고 해줘,needs_review,
273,0x00617FE4,0x001C2FE4,39,text,触手ッ子には俺も萌えている,촉수녀라니 나도 취향이야,needs_review,
274,0x0061800C,0x001C300C,27,text,ただの親友だと思う,그냥 절친인 듯,needs_review,
275,0x00618028,0x001C3028,36,text,めっちゃ依存してると思う,완전 의존하는 것 같아,needs_review,
276,0x0061804D,0x001C304D,24,text,平穏そのものだね,평온 그 자체네,needs_review,
277,0x00618066,0x001C3066,24,text,油断しちゃだめだ,방심하면 안 돼,needs_review,
278,0x0061807F,0x001C307F,30,text,風邪をひいちゃって！,감기 걸려버려서！,needs_review,
279,0x0061809E,0x001C309E,21,text,アレが重くて！,저게무거워서！,needs_review,
